## p.12
AaT+@H	nm	あなた(男)
HiyA	pron	彼女
RoA_SH	n	頭
A@B	nm	父
B+aYiT	n	家
G+aG	n	屋根
G'+aZ	n	ジャズ

## p.13
D+eLeT	n	戸
B+eGeD	n	服
HaR	n	山
K+iT+@H	n	教室
L@H+	pron	彼女に
G+@BoAH+	a	高い
D+@ViD	Nm	ダビデ
G+uwP	n	体
B+owR	n	穴
V@SHiyN:G+:TTowN	N	ワシントン

## p.14
Z@H@B	n	金
Z'uwR:N@L	n	ジャーナル(journal)
H/aG	n	祭
TTowB	a	善い
AowTTowM@TTiy	a	自動の
Y@D	n	手

## p.15
HiyA	pron	彼女は
A@KaL	v	食べる
D+eReK:	n	道
K+@BowD	n	栄光
LeB	n	心
MaYiM	n	水
N@BiyA	n	預言者
B+eeN	nm	息子
SSuwSS	n	馬

## p.16
EaL	n	上に
Y@PeH	a	美しい
SSowP	n	終わり
P+eH	n	口
TSeeL	n	影
H/uwTS	n	外
TS'eL+ow	n	チェロ
QowP	n	猿

## p.17
ReGeL	n	足
SHeeN	n	歯
S@K@R	n	報酬
T+owR@H	n	律法

## p.18
SS@PaR	v	数える
SSiP+eeR	v	話す;髪を刈る
SSuP+aR	v	語られる
SSeePeR	nm	本
SSaP+@R	nm	床屋
SS:P@R	nm	国境
SSowPeeR	nm	作家;書記
SSiP+uwR	nm	話
SS@PuwR	a	数えられた
SSaP+iyR	nm	サファイア

###

## p.21
#B+@A		*
#A@B		*
S@R@H	Nf	サラ
YiTS:H/@Q	Nm	イサク
D+@ViD	Nm	ダビデ
# UMoSHeH		*
AaB:R@H@M	Nm	アブラハム

Y:RuwSH@LaYiM	N	エルサレム
Y:RiyH/ow	N	イェリコ

AeGeD	n	束
QoDeSH	n	聖

## p.22

A@BiyB	n	春
A@BiyV	n	彼の父
AiM	conj	もし〜ならば
EiM	prep	〜と共に
AaL	prep	〜でない
EaL	prep	〜の上に
AowR	n	光
EowR	n	皮膚
A@H/	n	兄弟
AaK:	conj	しかし

## p.23

K+aR	n	枕
QaR	a	寒い
K+oL	adv	すべて
QowL	n	声
SSaM	n	麻薬
S@M	v	置く
TT@E@H	v	誤る
T+@E@H	v	道に迷う
TT@BaE	v	沈む
T+@BaE	v	要求する

TTaEaM	nm	味
TT@EaM	v	味わう
H/eReSH	adv	こっそり
H/eeReeSH	nm	聴覚障害者
LaH/aSH	nm	ささやき
L@H/aSH	v	ささやく
B+iyR@H	nf	ビール
B+iyR@H	nf	首都
SSaEaD	nm	福祉
SS@EaD	v	助ける

B+@KiyR	a	(位が)上級の
B+@HiyR	a	澄んだ
H/owRiyM	n	穴
HowRiyM	n	両親
H/iL+eeL	v	冒瀆する
HiL+eeL	v	賛美する
H/eeN	n	優美
HeeN	pron	彼女らは
L@KeM	pron	あなたたちへ
L@HeM	pron	彼らに

## p.25

R:H/owB	n	通り
M:NaHeeL	n	社長,校長
T+:HiL+iyM	n	詩篇
HaL:Luw	*	賛美せよ
AaB:R@H@M	Nm	アブラハム
MaH/:B+eReT	n	ノート
YiTS:H/@Q	Nm	イサク

## p.26

M:NowR@H	n	メノラー,燭台
Y:L@DiyM	n	子供たち
MeLeK:	n	王
AaT+:	pron	あなた(女)は
L@BaSH:T+:	*	あなた(女)は着た
NeeP:TT:	n	石油
MiSS:K+eeN	a	かわいそうな
MiD:B+@R	n	荒野
YiSH:M:Ruw	*	彼らは守るであろう
NiSS:G+:Ruw	*	それらは閉じられた
YiR:M:Y@Huw	Nm	エレミヤ
AeQ:SS:P+owR:TT	n	輸出
HaL:LuwY@H+	*	ハレルヤ,主を賛めよ
HiN:Nuw	*	見よ,私たちは
D+iB+:Ruw	*	彼らは語った

## p.27

TS:LiyL	n	音色
K+:NeSSeT	n	会合
G+:LiyD@H	n	アイスクリーム

Aa:Niy	pron	私は
Ea:BowD@H	n	仕事

TSiP+o:RiyM	n	鳥たち
SHiB+o:LiyM	n	(麦の)穂
H/o:D@SHiyM	n	月々

## p.28

H/a:BiyL@H	n	小包み
HeAe:MiyN	v	信じる
HeH/e:ZiyR	v	返す
HeEe:L@H	v	上げる
Ao:NiY+@H	n	船

B+aYiT	n	家
MaL:B+eeN	n	長方形
K+aP	n	手のひら
MaZ:K+iyR	n	秘書,書記
P+eH	n	口
MiR:P+eSSeT	n	ベランダ

## p.29

SHaB+@T	n	安息日
MiL+eeA	v	満たす
HaSH+@MaYiM	n	天,空

SSiP+uwR	n	物語
P+iL:P+eeL	n	ピーマン

AuL:P+@N	n	ヘブライ語教室
H@AuL:P+@N	n	そのヘブライ語教室
EiyR	n	町
H@EiyR	n	その町

## p.30

H/ay	adj	生きている
AuwLay	adv	多分
SSiyNay	N	シナイ
Aa:DoN@y	n	わが主

G+oy	n	民、異邦人
Aoy	*	ああ！

G+@Luy	a	あらわな
R@TSuy	a	望ましい
M@TSuy	a	ありふれた

## p.31

B+aN+aay	n	建設労働者
B+:VaD+aay	adv	もちろん
EiT+owNaay	n	記者
K+:Daay	v	〜する価値がある

B+@N@yv	n	彼の息子たち
AeH/@yv	n	彼の兄弟たち

T+aP+uwAH/	n	りんご
M@SHiyAH/	n	メシア
YowDeeAE	v	知っている
HiG+iyAE	v	到着した
G+@BoAH+	a	高い

## p.32

H/@K:M@H	n	知恵
Q@R:B+@N	n	犠牲
T+@K:NiyT	n	計画

K+@L-H@A@ReTS	n	全地

M@H/o:R@T	n	翌日
TS@Ho:RaYiM	n	正午,昼
SH@R@SHiyM	n	根
Q@D@SHiyM	n	聖

## p.33

MeLeK:	n	王
YeLeD	n	男の子
SSeePeR	n	本
SSeeMeL	n	象徴

M:L@KiyM	n	王たち
SS:P@RiyM	n	本(複数)

MaH/:B+eReT	n	ノート
MowLeDeT	n	祖国

## p.34

LowMeDeT	v	(彼女は)勉強します
M:DaB+eReT	v	(彼女は)話します
T+eeKeP	adv	すぐに
B+:EeeReK:	adv	およそ、約

P+eTaH/	n	人口
NeeTSaH/	n	永遠
ZeRaE	n	種
SSeLaE	n	岩

B+oQeR	n	朝
QoDeSH	n	聖
AoHeL	n	天幕

A@LeP	n	アレフ
D+@LeT	n	ダレット
M@VeT	n	死

## p.35

P+aH/aD	n	恐れ
B+aEaL	n	主人,夫
MiQ:LaH/aT	n	シャワー
YowDaEaT	v	(彼女は)知っている

QaYiTS	n	夏
B+aYiT	n	家
ZaYiT	n	オリーブ
EaYiN	n	目

SH@MaYiM	n	天,空
Y@DaYiM	n	両手

TTeLePowN	n	電話
AowTTowB+uwSS	n	バス

AiyN:P:LaTS:Y@H	n	インフレ

## p.36

AiyN:TTeN:SSiyBiy	a	集中的な
T+eyAaTT:RowN	n	劇場

## p.38

SH@LowM MaR 〜	*	(男の人に)こんにちは、〜さん。
SH@LowM G+:BeReT 〜	*	(女の人に)こんにちは、〜さん。
B+oQeR TTowB	*	お早ようございます。
B+oQeR AowR	*	(返事)お早ようございます。
EeReB TTowB	*	今晩は。
LaY:L@H TTowB	*	お休みなさい。
